Airport.Code,Airport.Name,Airline.Name,Claim.Type,Claim.Site,Item,Claim.Amount,Status,Close.Amount
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Cameras - Digital,26.76,Approved,26.76
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,202.65,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Stereo Items & Accessories,400,Denied,0
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,168.96,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",60,Approved,60
ABQ,Albuquerque International Sunport Airport,Delta (Song),Passenger Property Loss,Checked Baggage,Other,15,Approved,15
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Locks,250,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,75.63,Approved,75.63
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,47.95,Approved,47.95
ABQ,Albuquerque International Sunport Airport,Skywest Airlines Inc USA,Passenger Property Loss,Checked Baggage,Locks,25,Approved,25
ABQ,Albuquerque International Sunport Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),100,Approved,100
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,2638.67,Denied,0
ABQ,Albuquerque International Sunport Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,265.31,Approved,265.31
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,25.91,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,10.74,Approved,10.74
ABQ,Albuquerque International Sunport Airport,UAL,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",161.38,Approved,161.38
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",25.85,Approved,25.85
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",55,Approved,55
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),159,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Computer - Laptop,25,Approved,25
ABQ,Albuquerque International Sunport Airport,American Airlines,Passenger Property Loss,Checked Baggage,Musical Instruments - Other - Over $250,19.18,Denied,0
ABQ,Albuquerque International Sunport Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,"Clothing - Shoes, belts, accessories, etc.",125,Denied,0
ABQ,Albuquerque International Sunport Airport,Continental Airlines,Property Damage,Checked Baggage,Other,167.91,Denied,0
ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Other,28.53,Approved,28.53
ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,67.5,Denied,0
